 # Jupiter model, Ptrans=7 Mbar, rock core 
 # m/Mp         P (GPa)    r/Rmean   T(K)   rho(g/ccm)
 0.9999167222   0.064397   0.99290  1155.0  0.0143749 
 0.9999151107   0.065652   0.99285  1161.2  0.0145583 
 0.9999134790   0.066922   0.99280  1167.4  0.0147427 
 0.9999118267   0.068209   0.99275  1173.6  0.0149283 
 0.9999101540   0.069512   0.99270  1179.8  0.0151151 
 0.9999084605   0.070831   0.99265  1186.0  0.0153029 
 0.9999067463   0.072167   0.99260  1192.2  0.0154919 
 0.9999050110   0.073520   0.99255  1198.4  0.0156820 
 0.9999032548   0.074889   0.99250  1204.6  0.0158733 
 0.9999014774   0.076275   0.99245  1210.8  0.0160652 
 0.9998996787   0.077678   0.99240  1217.0  0.0162583 
 0.9998978587   0.079098   0.99235  1223.2  0.0164524 
 0.9998960173   0.080534   0.99230  1229.4  0.0166477 
 0.9998941542   0.081988   0.99225  1235.6  0.0168441 
 0.9998922694   0.083460   0.99220  1241.8  0.0170416 
 0.9998903627   0.084948   0.99215  1247.9  0.0172403 
 0.9998884341   0.086454   0.99210  1254.1  0.0174400 
 0.9998864834   0.087978   0.99205  1260.3  0.0176408 
 0.9998845105   0.089519   0.99200  1266.5  0.0178424 
 0.9998825154   0.091078   0.99195  1272.7  0.0180450 
 0.9998804979   0.092655   0.99190  1278.8  0.0182487 
 0.9998784578   0.094250   0.99185  1285.0  0.0184535 
 0.9998763952   0.095863   0.99180  1291.2  0.0186594 
 0.9998743098   0.097494   0.99175  1297.4  0.0188664 
 0.9998722015   0.099143   0.99170  1303.5  0.0190745 
 0.9998700703   0.100810   0.99165  1309.7  0.0192837 
 0.9998679160   0.102496   0.99160  1315.8  0.0194940 
 0.9998657385   0.104201   0.99155  1321.9  0.0197054 
 0.9998635376   0.105924   0.99150  1328.1  0.0199179 
 0.9998613134   0.107665   0.99145  1334.2  0.0201310 
 0.9998590656   0.109426   0.99140  1340.4  0.0203450 
 0.9998567942   0.111205   0.99135  1346.5  0.0205601 
 0.9998544992   0.113003   0.99130  1352.6  0.0207763 
 0.9998521803   0.114821   0.99125  1358.7  0.0209936 
 0.9998498374   0.116657   0.99120  1364.8  0.0212119 
 0.9998474705   0.118513   0.99115  1371.0  0.0214313 
 0.9998450794   0.120388   0.99110  1377.1  0.0216518 
 0.9998426641   0.122282   0.99105  1383.2  0.0218733 
 0.9998402243   0.124196   0.99100  1389.2  0.0220960 
 0.9998377600   0.126130   0.99095  1395.3  0.0223197 
 0.9998352712   0.128083   0.99090  1401.4  0.0225409 
 0.9998327582   0.130056   0.99085  1407.4  0.0227608 
 0.9998302211   0.132048   0.99080  1413.4  0.0229817 
 0.9998276596   0.134060   0.99075  1419.3  0.0232042 
 0.9998250737   0.136091   0.99070  1425.3  0.0234277 
 0.9998224631   0.138142   0.99065  1431.2  0.0236521 
