 # Jupiter model, Ptrans=2 Mbar, diluted core
 # m/Mp         P (GPa)    r/Rmean   T(K)   rho(g/ccm)
 0.7159960238  401.319507   0.73812  9203.1  1.4172800 
 0.7125033556  407.881069   0.73612  9260.3  1.4270661 
 0.7090057328  414.491951   0.73412  9317.3  1.4368346 
 0.7055034065  421.152019   0.73212  9374.2  1.4465855 
 0.7019966256  427.861137   0.73012  9431.0  1.4563189 
 0.6984856373  434.619169   0.72812  9487.6  1.4660348 
 0.6949706867  441.425977   0.72612  9544.1  1.4757333 
 0.6914520173  448.281419   0.72412  9600.5  1.4854144 
 0.6879298704  455.185356   0.72212  9656.7  1.4950783 
 0.6844044856  462.137643   0.72012  9712.8  1.5047250 
 0.6808761006  469.138136   0.71812  9768.7  1.5143545 
 0.6773449465  476.186699   0.71612  9823.7  1.5240046 
 0.6738107770  483.284149   0.71412  9872.2  1.5339492 
 0.6702735049  490.430986   0.71212  9920.6  1.5438807 
 0.6667333609  497.627070   0.71012  9968.8  1.5537990 
 0.6631905953  504.872215   0.70812  10017.8  1.5636508 
 0.6596456858  512.165763   0.70612  10068.1  1.5733900 
 0.6560989303  519.507415   0.70412  10118.4  1.5831144 
 0.6525505532  526.897019   0.70212  10168.5  1.5928240 
 0.6490007771  534.334420   0.70012  10218.5  1.6025187 
 0.6454498230  541.819462   0.69812  10268.3  1.6121985 
 0.6418979103  549.351988   0.69612  10318.0  1.6218635 
 0.6383452568  556.931839   0.69412  10367.6  1.6315136 
 0.6347920787  564.558853   0.69212  10417.0  1.6411489 
 0.6312385904  572.232867   0.69012  10466.3  1.6507693 
 0.6276850050  579.953718   0.68812  10515.5  1.6603749 
 0.6241315337  587.721239   0.68612  10564.6  1.6699657 
 0.6205783864  595.535262   0.68412  10613.5  1.6795416 
 0.6170257710  603.395619   0.68212  10662.3  1.6891027 
 0.6134738944  611.302140   0.68012  10710.9  1.6986489 
 0.6099229613  619.254651   0.67812  10759.5  1.7081803 
 0.6063729581  627.253469   0.67612  10804.9  1.7179203 
 0.6028238145  635.299035   0.67412  10850.0  1.7276617 
 0.5992757310  643.391180   0.67212  10895.0  1.7373905 
 0.5957289075  651.529729   0.67012  10939.8  1.7471066 
 0.5921835427  659.714506   0.66812  10984.5  1.7568102 
 0.5886398337  667.945331   0.66612  11029.1  1.7665009 
 0.5850979761  676.222027   0.66412  11073.6  1.7761790 
 0.5815581641  684.544410   0.66212  11118.0  1.7858442 
 0.5780205907  692.912297   0.66012  11162.2  1.7954966 
 0.5744854472  701.325503   0.65812  11206.4  1.8051361 
 0.5709529177  709.783855   0.65612  11253.4  1.8147715 
 0.5674231729  718.287207   0.65412  11301.7  1.8243981 
 0.5638963988  726.835372   0.65212  11350.0  1.8340117 
 0.5603727812  735.428158   0.65012  11398.1  1.8436125 
 0.5568525045  744.065371   0.64812  11446.1  1.8532002 
 0.5533357517  752.746817   0.64612  11493.9  1.8627749 
 0.5498227044  761.472297   0.64412  11541.7  1.8723365 
 0.5463135426  770.241615   0.64212  11589.4  1.8818851 
 0.5428084452  779.054569   0.64012  11636.9  1.8914204 
 0.5393075894  787.910958   0.63812  11684.4  1.9009426 
 0.5358111512  796.810579   0.63612  11731.7  1.9104515 
 0.5323192868  805.753275   0.63412  11778.4  1.9200175 
 0.5288318535  814.739652   0.63212  11823.9  1.9297485 
 0.5253489095  823.769800   0.63012  11869.3  1.9394682 
 0.5218706271  832.843511   0.62812  11914.5  1.9491766 
 0.5183971771  841.960577   0.62612  11959.7  1.9588736 
 0.5149287292  851.120785   0.62412  12004.7  1.9685591 
 0.5114654516  860.323922   0.62212  12049.7  1.9782331 
 0.5080075113  869.569774   0.62012  12094.5  1.9878954 
 0.5045550740  878.858125   0.61812  12139.3  1.9975459 
 0.5011083041  888.188756   0.61612  12183.9  2.0071847 
 0.4976673645  897.561447   0.61412  12228.4  2.0168116 
 0.4942324171  906.975977   0.61212  12272.8  2.0264266 
 0.4908036222  916.432122   0.61012  12317.1  2.0360295 
 0.4873811390  925.929659   0.60812  12361.3  2.0456204 
 0.4839651252  935.468360   0.60612  12405.4  2.0551991 
 0.4805557373  945.047999   0.60412  12449.4  2.0647655 
 0.4771531304  954.668345   0.60212  12493.3  2.0743197 
 0.4737574584  964.329169   0.60012  12537.1  2.0838614 
 0.4703688738  974.030237   0.59812  12580.8  2.0933907 
 0.4669875386  983.771287   0.59612  12628.1  2.1028909 
 0.4636136240  993.552019   0.59412  12676.3  2.1123744 
 0.4602472791  1003.372198   0.59212  12724.3  2.1218452 
 0.4568886506  1013.231585   0.59012  12772.3  2.1313030 
 0.4535378844  1023.129943   0.58812  12820.1  2.1407479 
